date,hospital,admissions_total,admissions_emergency,admissions_scheduled,temperature,precipitation,is_weekend,is_holiday,day_of_week,month,year,special_event
2020-02-01,Hôpital_Military,64,51,13,23.7,1.5,1,0,5,2,2020,
2020-02-02,CHU_Cocody,151,120,31,22.4,0.0,1,0,6,2,2020,
2020-02-02,CHU_Yopougon,174,139,35,20.7,3.2,1,0,6,2,2020,
2020-02-02,CHU_Treichville,120,95,25,20.5,1.4,1,0,6,2,2020,
2020-02-02,CHU_Angre,85,68,17,26.8,2.3,1,0,6,2,2020,
2020-02-02,Hôpital_Military,67,53,14,22.0,0.3,1,0,6,2,2020,
2020-02-03,CHU_Cocody,125,87,38,21.7,1.0,0,0,0,2,2020,
2020-02-03,CHU_Yopougon,157,109,48,23.0,0.3,0,0,0,2,2020,
2020-02-03,CHU_Treichville,148,69,30,20.3,1.0,0,0,0,2,2020,Grippe_saisonnière
2020-02-03,CHU_Angre,71,49,22,24.3,1.1,0,0,0,2,2020,
2020-02-03,Hôpital_Military,47,32,15,26.3,0.1,0,0,0,2,2020,
2020-02-04,CHU_Cocody,133,93,40,27.4,0.6,0,0,1,2,2020,
2020-02-04,CHU_Yopougon,159,111,48,26.0,0.3,0,0,1,2,2020,
2020-02-04,CHU_Treichville,98,68,30,25.0,0.2,0,0,1,2,2020,
2020-02-04,CHU_Angre,65,45,20,28.0,1.5,0,0,1,2,2020,
2020-02-04,Hôpital_Military,52,36,16,28.5,1.0,0,0,1,2,2020,
2020-02-05,CHU_Cocody,130,91,39,23.9,1.5,0,0,2,2,2020,
2020-02-05,CHU_Yopougon,161,112,49,23.5,0.2,0,0,2,2,2020,
2020-02-05,CHU_Treichville,100,70,30,21.9,2.4,0,0,2,2,2020,
2020-02-05,CHU_Angre,65,45,20,28.6,1.3,0,0,2,2,2020,
2020-02-05,Hôpital_Military,47,32,15,24.0,0.3,0,0,2,2,2020,
2020-02-06,CHU_Cocody,127,88,39,24.9,0.8,0,0,3,2,2020,
2020-02-06,CHU_Yopougon,160,112,48,24.2,2.0,0,0,3,2,2020,
2020-02-06,CHU_Treichville,101,70,31,27.3,1.5,0,0,3,2,2020,
2020-02-06,CHU_Angre,66,46,20,24.5,1.3,0,0,3,2,2020,
2020-02-06,Hôpital_Military,51,35,16,22.7,0.0,0,0,3,2,2020,
2020-02-07,CHU_Cocody,133,93,40,21.1,0.6,0,0,4,2,2020,
2020-02-07,CHU_Yopougon,160,112,48,20.6,0.8,0,0,4,2,2020,
2020-02-07,CHU_Treichville,101,70,31,27.6,1.2,0,0,4,2,2020,
2020-02-07,CHU_Angre,68,47,21,20.1,0.4,0,0,4,2,2020,
2020-02-07,Hôpital_Military,67,31,14,26.8,1.9,0,0,4,2,2020,Epidémie_paludisme
2020-02-08,CHU_Cocody,143,114,29,24.7,1.5,1,0,5,2,2020,
2020-02-08,CHU_Yopougon,178,142,36,26.0,1.5,1,0,5,2,2020,
2020-02-08,CHU_Treichville,123,98,25,24.9,0.9,1,0,5,2,2020,
2020-02-08,CHU_Angre,87,69,18,26.3,4.5,1,0,5,2,2020,
2020-02-08,Hôpital_Military,75,59,16,23.0,0.3,1,0,5,2,2020,
2020-02-09,CHU_Cocody,154,123,31,25.8,0.3,1,0,6,2,2020,
2020-02-09,CHU_Yopougon,175,140,35,23.4,0.2,1,0,6,2,2020,
2020-02-09,CHU_Treichville,113,90,23,26.3,0.4,1,0,6,2,2020,
2020-02-09,CHU_Angre,85,68,17,21.2,1.1,1,0,6,2,2020,
2020-02-09,Hôpital_Military,80,63,17,22.4,0.1,1,0,6,2,2020,
2020-02-10,CHU_Cocody,128,89,39,27.8,0.6,0,0,0,2,2020,
2020-02-10,CHU_Yopougon,157,109,48,22.4,0.3,0,0,0,2,2020,
2020-02-10,CHU_Treichville,95,66,29,22.5,2.3,0,0,0,2,2020,
2020-02-10,CHU_Angre,75,52,23,24.2,0.7,0,0,0,2,2020,
2020-02-10,Hôpital_Military,50,35,15,23.8,0.5,0,0,0,2,2020,
2020-02-11,CHU_Cocody,126,88,38,29.2,0.4,0,0,1,2,2020,
2020-02-11,CHU_Yopougon,156,109,47,24.9,0.0,0,0,1,2,2020,
2020-02-11,CHU_Treichville,94,65,29,28.2,0.2,0,0,1,2,2020,
2020-02-11,CHU_Angre,77,53,24,24.9,1.3,0,0,1,2,2020,
2020-02-11,Hôpital_Military,45,31,14,20.9,0.1,0,0,1,2,2020,
2020-02-12,CHU_Cocody,128,89,39,25.3,0.2,0,0,2,2,2020,
2020-02-12,CHU_Yopougon,161,112,49,23.2,0.0,0,0,2,2,2020,
2020-02-12,CHU_Treichville,102,71,31,26.5,0.1,0,0,2,2,2020,
2020-02-12,CHU_Angre,70,49,21,25.5,1.5,0,0,2,2,2020,
2020-02-12,Hôpital_Military,67,31,14,25.6,2.2,0,0,2,2,2020,Grippe_saisonnière
2020-02-13,CHU_Cocody,130,91,39,25.5,0.6,0,0,3,2,2020,
2020-02-13,CHU_Yopougon,162,113,49,22.6,2.8,0,0,3,2,2020,
2020-02-13,CHU_Treichville,97,67,30,25.6,1.1,0,0,3,2,2020,
2020-02-13,CHU_Angre,68,47,21,24.9,2.9,0,0,3,2,2020,
2020-02-13,Hôpital_Military,43,30,13,26.3,1.8,0,0,3,2,2020,
2020-02-14,CHU_Cocody,129,90,39,27.5,0.1,0,0,4,2,2020,
2020-02-14,CHU_Yopougon,161,112,49,25.7,0.9,0,0,4,2,2020,
2020-02-14,CHU_Treichville,142,66,29,27.7,1.8,0,0,4,2,2020,Grippe_saisonnière
2020-02-14,CHU_Angre,66,46,20,28.0,1.9,0,0,4,2,2020,
2020-02-14,Hôpital_Military,49,34,15,24.4,0.2,0,0,4,2,2020,
2020-02-15,CHU_Cocody,149,119,30,25.1,3.4,1,0,5,2,2020,
2020-02-15,CHU_Yopougon,167,133,34,26.9,2.8,1,0,5,2,2020,
2020-02-15,CHU_Treichville,118,94,24,24.6,0.2,1,0,5,2,2020,
2020-02-15,CHU_Angre,79,63,16,27.8,0.0,1,0,5,2,2020,
2020-02-15,Hôpital_Military,72,57,15,22.4,0.6,1,0,5,2,2020,
2020-02-16,CHU_Cocody,142,113,29,24.5,0.4,1,0,6,2,2020,
2020-02-16,CHU_Yopougon,177,141,36,24.7,0.6,1,0,6,2,2020,
2020-02-16,CHU_Treichville,116,92,24,24.0,0.2,1,0,6,2,2020,
2020-02-16,CHU_Angre,97,77,20,29.2,1.3,1,0,6,2,2020,
2020-02-16,Hôpital_Military,75,59,16,24.2,0.1,1,0,6,2,2020,
2020-02-17,CHU_Cocody,126,88,38,25.6,1.3,0,0,0,2,2020,
2020-02-17,CHU_Yopougon,156,109,47,24.4,0.6,0,0,0,2,2020,
2020-02-17,CHU_Treichville,95,66,29,27.1,2.3,0,0,0,2,2020,
2020-02-17,CHU_Angre,71,49,22,25.8,7.6,0,0,0,2,2020,
2020-02-17,Hôpital_Military,46,32,14,26.8,0.0,0,0,0,2,2020,
2020-02-18,CHU_Cocody,130,91,39,24.4,1.3,0,0,1,2,2020,
2020-02-18,CHU_Yopougon,159,111,48,25.9,0.3,0,0,1,2,2020,
2020-02-18,CHU_Treichville,98,68,30,27.1,0.4,0,0,1,2,2020,
2020-02-18,CHU_Angre,64,44,20,22.6,1.2,0,0,1,2,2020,
2020-02-18,Hôpital_Military,56,39,17,25.2,0.9,0,0,1,2,2020,
2020-02-19,CHU_Cocody,129,90,39,27.7,2.5,0,0,2,2,2020,
2020-02-19,CHU_Yopougon,155,108,47,24.0,0.2,0,0,2,2,2020,
2020-02-19,CHU_Treichville,96,67,29,29.2,1.0,0,0,2,2,2020,
2020-02-19,CHU_Angre,66,46,20,24.5,0.0,0,0,2,2,2020,
2020-02-19,Hôpital_Military,49,34,15,23.1,0.3,0,0,2,2,2020,
2020-02-20,CHU_Cocody,128,89,39,23.8,1.7,0,0,3,2,2020,
2020-02-20,CHU_Yopougon,158,110,48,20.9,0.1,0,0,3,2,2020,
2020-02-20,CHU_Treichville,101,70,31,25.2,1.8,0,0,3,2,2020,
2020-02-20,CHU_Angre,69,48,21,27.2,0.3,0,0,3,2,2020,
2020-02-20,Hôpital_Military,47,32,15,24.2,2.4,0,0,3,2,2020,
2020-02-21,CHU_Cocody,129,90,39,22.9,0.2,0,0,4,2,2020,
2020-02-21,CHU_Yopougon,152,106,46,28.2,0.7,0,0,4,2,2020,
2020-02-21,CHU_Treichville,104,72,32,26.8,0.8,0,0,4,2,2020,
2020-02-21,CHU_Angre,70,49,21,24.6,0.6,0,0,4,2,2020,
2020-02-21,Hôpital_Military,54,37,17,27.8,0.0,0,0,4,2,2020,
2020-02-22,CHU_Cocody,149,119,30,22.7,0.7,1,0,5,2,2020,
2020-02-22,CHU_Yopougon,179,143,36,25.5,0.8,1,0,5,2,2020,
2020-02-22,CHU_Treichville,126,100,26,24.3,1.7,1,0,5,2,2020,
2020-02-22,CHU_Angre,91,72,19,24.9,0.5,1,0,5,2,2020,
2020-02-22,Hôpital_Military,94,50,13,25.6,0.6,1,0,5,2,2020,Epidémie_paludisme
2020-02-23,CHU_Cocody,146,116,30,25.2,1.8,1,0,6,2,2020,
2020-02-23,CHU_Yopougon,175,140,35,23.4,2.4,1,0,6,2,2020,
2020-02-23,CHU_Treichville,114,91,23,23.2,0.3,1,0,6,2,2020,
2020-02-23,CHU_Angre,87,69,18,27.7,0.9,1,0,6,2,2020,
2020-02-23,Hôpital_Military,90,47,13,26.1,0.7,1,0,6,2,2020,Epidémie_paludisme
2020-02-24,CHU_Cocody,128,89,39,25.7,0.7,0,0,0,2,2020,
2020-02-24,CHU_Yopougon,155,108,47,26.8,0.5,0,0,0,2,2020,
2020-02-24,CHU_Treichville,102,71,31,28.6,1.0,0,0,0,2,2020,
2020-02-24,CHU_Angre,67,46,21,27.3,0.3,0,0,0,2,2020,
2020-02-24,Hôpital_Military,44,30,14,22.5,0.2,0,0,0,2,2020,
2020-02-25,CHU_Cocody,130,91,39,26.2,1.9,0,0,1,2,2020,
2020-02-25,CHU_Yopougon,159,111,48,24.5,0.7,0,0,1,2,2020,
2020-02-25,CHU_Treichville,94,65,29,29.9,1.3,0,0,1,2,2020,
2020-02-25,CHU_Angre,70,49,21,27.3,0.8,0,0,1,2,2020,
2020-02-25,Hôpital_Military,47,32,15,27.9,0.9,0,0,1,2,2020,
2020-02-26,CHU_Cocody,125,87,38,23.7,0.3,0,0,2,2,2020,
2020-02-26,CHU_Yopougon,159,111,48,23.1,3.0,0,0,2,2,2020,
2020-02-26,CHU_Treichville,103,72,31,27.7,0.0,0,0,2,2,2020,
2020-02-26,CHU_Angre,71,49,22,25.3,0.2,0,0,2,2,2020,
2020-02-26,Hôpital_Military,48,33,15,24.3,0.4,0,0,2,2,2020,
2020-02-27,CHU_Cocody,126,88,38,25.8,1.0,0,0,3,2,2020,
2020-02-27,CHU_Yopougon,157,109,48,29.5,1.4,0,0,3,2,2020,
2020-02-27,CHU_Treichville,96,67,29,25.4,2.7,0,0,3,2,2020,
2020-02-27,CHU_Angre,71,49,22,27.4,1.1,0,0,3,2,2020,
2020-02-27,Hôpital_Military,46,32,14,26.7,1.1,0,0,3,2,2020,
2020-02-28,CHU_Cocody,125,87,38,27.6,0.9,0,0,4,2,2020,
2020-02-28,CHU_Yopougon,156,109,47,24.0,1.1,0,0,4,2,2020,
2020-02-28,CHU_Treichville,96,67,29,27.7,0.3,0,0,4,2,2020,
2020-02-28,CHU_Angre,64,44,20,23.8,1.8,0,0,4,2,2020,
2020-02-28,Hôpital_Military,46,32,14,24.0,1.1,0,0,4,2,2020,
2020-02-29,CHU_Cocody,144,115,29,24.1,1.9,1,0,5,2,2020,
2020-02-29,CHU_Yopougon,265,141,36,27.9,0.5,1,0,5,2,2020,Epidémie_paludisme
2020-02-29,CHU_Treichville,115,91,24,26.1,0.8,1,0,5,2,2020,
2020-02-29,CHU_Angre,88,70,18,29.6,0.5,1,0,5,2,2020,
2020-02-29,Hôpital_Military,73,58,15,24.4,0.1,1,0,5,2,2020,
2020-03-01,CHU_Cocody,146,116,30,26.3,7.6,1,0,6,3,2020,
2020-03-01,CHU_Yopougon,177,141,36,27.4,1.4,1,0,6,3,2020,
2020-03-01,CHU_Treichville,114,91,23,22.7,6.1,1,0,6,3,2020,
2020-03-01,CHU_Angre,85,68,17,25.2,11.4,1,0,6,3,2020,
2020-03-01,Hôpital_Military,66,52,14,24.9,8.1,1,0,6,3,2020,
2020-03-02,CHU_Cocody,130,91,39,27.6,0.6,0,0,0,3,2020,
2020-03-02,CHU_Yopougon,156,109,47,27.5,2.3,0,0,0,3,2020,
2020-03-02,CHU_Treichville,101,70,31,29.1,2.3,0,0,0,3,2020,
2020-03-02,CHU_Angre,67,46,21,27.5,2.5,0,0,0,3,2020,
2020-03-02,Hôpital_Military,45,31,14,25.3,6.2,0,0,0,3,2020,
2020-03-03,CHU_Cocody,125,87,38,27.3,1.4,0,0,1,3,2020,
2020-03-03,CHU_Yopougon,160,112,48,24.1,7.7,0,0,1,3,2020,
2020-03-03,CHU_Treichville,100,70,30,25.1,1.2,0,0,1,3,2020,
2020-03-03,CHU_Angre,67,46,21,26.7,0.2,0,0,1,3,2020,
2020-03-03,Hôpital_Military,43,30,13,26.9,2.8,0,0,1,3,2020,
2020-03-04,CHU_Cocody,130,91,39,26.6,4.9,0,0,2,3,2020,
2020-03-04,CHU_Yopougon,156,109,47,27.3,3.3,0,0,2,3,2020,
2020-03-04,CHU_Treichville,92,64,28,31.5,0.1,0,0,2,3,2020,
2020-03-04,CHU_Angre,64,44,20,27.4,2.3,0,0,2,3,2020,
2020-03-04,Hôpital_Military,47,32,15,27.7,5.7,0,0,2,3,2020,
2020-03-05,CHU_Cocody,131,91,40,26.6,1.5,0,0,3,3,2020,
2020-03-05,CHU_Yopougon,151,105,46,24.2,0.3,0,0,3,3,2020,
2020-03-05,CHU_Treichville,101,70,31,25.7,0.1,0,0,3,3,2020,
2020-03-05,CHU_Angre,71,49,22,27.3,4.1,0,0,3,3,2020,
2020-03-05,Hôpital_Military,49,34,15,29.7,2.5,0,0,3,3,2020,
2020-03-06,CHU_Cocody,130,91,39,25.0,2.1,0,0,4,3,2020,
2020-03-06,CHU_Yopougon,159,111,48,26.9,0.4,0,0,4,3,2020,
